canonical,total_mentions,primary_type,english_language,description
Whole Foods 365 EVOO,1,product_term,english,Whole Foods 365 EVOO is a store-brand extra virgin olive oil product line sold by Whole Foods Market.
Castel di Ama,1,other,unclear,Italian wine estate and producer (not a knife-related brand)
The Kitchn,1,publication,english,English-language cooking and home food publication / website
Wildly Organic,1,other,english,Organic food brand / retailer name mentioned in a knife-discussion context; not a knife-specific entity.
Dafni,1,other,unclear,"Unclear reference in a knife-discussion context; could be a person, brand, or other proper noun, but not enough information to identify confidently."
Castelrosso,1,knife_brand,unclear,"Unknown knife-related name; likely a brand or maker, but I can't confidently identify it from the name alone."
Costco Kirkland Signature,1,retailer,english,Costco's Kirkland Signature private-label brand sold through Costco; in knife discussions it usually refers to Costco-branded products rather than a knife maker.
Monini Classico,1,other,unclear,"Monini Classico is a food product name, likely an olive oil or similar pantry item, not a knife-related brand or term."
Los Angeles International Olive Oil Competition,1,other,english,International olive oil competition held in Los Angeles; not a knife brand or knife-specific entity.
Kite Hill,1,other,english,"Kite Hill is a plant-based food brand/company, not a knife-specific entity."
Olives Etcetera,1,other,english,Likely a food-related business or brand name; not clearly a knife-specific entity from the name alone.
The Olive Oil Source,1,retailer,english,Online retailer and information site focused on olive oil and related gourmet food products.
Flavor & The Menu,1,publication,english,Food-service industry publication and menu trends magazine/website
bestoliveoils.com,1,other,english,"Website/domain for Best Olive Oils, likely an olive oil review or retail site rather than a knife-specific entity."
International Olive Council,1,other,english,International intergovernmental organization that sets standards for olive oil and table olives.
Rio Bello,1,other,unclear,"Unclear entity name; could be a person, place, or brand, but not enough context to identify it as a knife-related entity."
Oliveda,1,other,unclear,"Unclear entity name in a knife-discussion context; could refer to a brand or unrelated term, but not enough information to identify confidently."
Sakellaropoulos,1,smith,unclear,"Likely a Greek surname referring to an individual maker or artisan; in knife context, probably a bladesmith or knife maker, but the exact entity is unclear."
Olivko,1,knife_brand,unclear,"Unknown entity name mentioned in a knife-discussion context; likely a knife brand or maker, but I can't confidently identify it from the name alone."
Olive Oil Jones,1,other,english,Likely a person or brand name; not a known knife-specific entity from the name alone.
Säka,1,knife_brand,non_english,Japanese knife brand known for premium kitchen knives and related accessories.
Enzo,1,knife_brand,non_english,Knife brand associated with Enzo; known as a knife maker/brand with Japanese or non-English branding presence.
Texas Hill Country Olive Co.,1,other,english,"Texas-based olive oil company/brand; not a knife maker, retailer, publication, or community."
Oliveira da Serra,1,other,unclear,A Portuguese olive oil brand/company; not a knife-related entity.
Sciacca-style Croatian oils,1,other,unclear,"A phrase referring to Croatian oils in a Sciacca-style context; not a knife brand, publication, retailer, community, smith, or product term I can confidently identify."
Rare Wine Co.,1,other,english,Wine retailer and merchant specializing in rare and collectible wines.
Nora Mill,1,other,english,"Nora Mill is a historic grist mill and brand/name associated with stone-ground cornmeal and flour, not a knife-specific brand or term."
Passione Toscana,1,other,unclear,"Likely an Italian phrase or brand name; in a knife context it may refer to a product line or retailer, but the entity type is not clear from the name alone."
Enzo Olive Oil,1,product_term,unclear,Olive oil used in knife maintenance or food context; not a knife brand or retailer.
Bravoleum,1,other,unclear,Unclear entity in a knife-discussion context; Bravoleum is not a known knife brand or knife-related term from the name alone.
Maison Orphée,1,other,unclear,"Brand name for a food-related company; not a knife-specific entity, likely a Canadian gourmet food brand rather than a knife maker, retailer, or publication."
No. 3 London,1,product_term,english,"A knife size/style designation referring to a No. 3 London pattern, likely a specific blade shape or model reference rather than a brand."
Olea Farm,1,other,english,"Farm/brand name; likely an olive farm or olive oil producer, not a knife-specific brand or publication."
Olive Odyssey,1,other,unclear,"Unclear entity name; could be a brand, product line, or unrelated phrase, but not enough context to identify it confidently."
TerraCreta,1,other,non_english,Greek olive oil brand and food company; not a knife-specific entity.
Kali,1,other,unclear,"Ambiguous term; could refer to a person, brand, or other entity, but not enough context to identify it as a knife-related entity."
Nudo,1,knife_brand,unclear,"Knife-related name; likely a knife brand or maker, but the specific entity is not clear from the name alone."
Terre Francescane,1,other,unclear,"Name that appears to be an Italian phrase or proper name; not clearly a knife brand, retailer, publication, community, smith, or product term from the name alone."
Mina,1,other,unclear,"Ambiguous name; could refer to a person, place, or brand, but not enough context to identify a knife-related entity."
Grove and Vine,1,other,english,"Likely a food, wine, or lifestyle brand/name; not clearly a knife-specific brand, retailer, publication, community, smith, or product term."
Atsas,1,knife_brand,non_english,Japanese knife maker/brand known among enthusiasts; likely a Japanese-language brand with limited English-language presence.
Yiayia and Friends,1,other,english,"A food/media brand or phrase; in a knife-discussion context this appears to be a non-knife entity, likely a cooking-related brand or show name."
Azeite Batalha,1,other,unclear,"Portuguese olive oil brand; not a knife brand, retailer, publication, community, smith, or knife product term."
Ipša,1,other,unclear,"Unclear entity name; could be a surname, place, or brand, but not enough context to identify it as a knife-related entity."
Oleum Viride,1,other,unclear,Latin phrase meaning 'green oil'; not a knife brand or knife-industry entity.
Georgia Olive Farms,1,other,english,"Georgia Olive Farms is an olive oil producer/food brand, not a knife-specific entity."
Fandango,1,other,unclear,"Ambiguous term; in a knife-discussion context it could refer to a brand, model, or unrelated proper noun, but there isn't enough context to identify it confidently."
Selin's Grove,1,other,unclear,"A proper name that does not appear to be a knife brand, retailer, publication, community, smith, or product term; likely a place or business name, but unclear from context."
Azeite Monte da Lapa,1,other,unclear,Portuguese olive oil brand/product name; not a knife-related entity.
Liá Cultivators,1,other,unclear,"Unclear entity name; appears to be a cultivator-related term or brand, but not recognizable as a knife-specific entity."
Hypereleon,1,other,unclear,"Unrecognized entity name; likely a proper noun or brand-like term, but not enough context to determine what it refers to."
Kalamata Papadopoulos,1,other,unclear,"Name appears to be a person or brand-like name, but it is not recognizable as a knife-specific entity from the provided context."
ROI,1,other,unclear,"Ambiguous acronym; in a knife-discussion context it could refer to return on investment or another non-knife entity, but the specific referent is unclear."
O-Live & Co.,1,knife_brand,english,"Knife brand / retailer associated with kitchen knives and cutlery, with English-language branding."
Las Doscientas,1,other,unclear,"Unclear reference; appears to be a Spanish phrase or title rather than a known knife brand, retailer, publication, community, smith, or product term."
Willow Creek Estate,1,other,english,"An estate or property name; not a knife brand, retailer, publication, community, smith, or product term."
Overture,1,other,unclear,"Ambiguous term; could refer to a product line, publication, or other entity, but not enough context from the knife-discussion mention alone."
Domaine de la Clé des Champs,1,other,unclear,"A named domaine/estate; likely a wine or agricultural property rather than a knife brand, retailer, publication, community, smith, or product term."
McQuaid Family Olive Oil,1,other,english,Olive oil brand or family business name; not a knife-specific entity.
Olio Jazzi,1,knife_brand,unclear,"Knife brand or maker name; likely an artisanal or boutique knife brand, but the language/market presence is not clear from the name alone."
Domaine de Provence,1,other,unclear,"A French-sounding name; likely a place, brand, or product line, but not clearly a knife-specific entity."
Zaytoun,1,other,unclear,"Unclear reference in a knife-discussion context; could be a proper name, brand, or term, but not enough information to identify confidently."
Wilderness,1,other,unclear,"Ambiguous term; could refer to wilderness/outdoors generally, not clearly a knife-related entity."
Olio Nuovo by Olio2go,1,other,english,"Olio Nuovo by Olio2go is a branded olive oil product/seller name, not a knife brand or knife-related publication/retailer/community."
Truly Olive Oil,1,other,english,Olive oil brand/product name mentioned in a kitchen context; not a knife-specific entity.
Olivie 148,1,knife_brand,unclear,"Appears to be a knife brand or model designation; 'Olivie 148' is likely a specific knife line/model, but the entity is not clearly identifiable from the name alone."
Oro del Desierto,1,other,non_english,"Spanish olive oil producer/brand name; not a knife brand, retailer, publication, community, smith, or product term."
Seka Hills Olive Oil,1,other,english,Olive oil brand/product line; not a knife-specific entity.
Frantoio Cutrera,1,other,unclear,Italian olive oil producer/brand; not a knife-specific entity.
Olave,1,other,unclear,"Unclear reference; 'Olave' does not obviously match a known knife brand, retailer, publication, community, smith, or knife-related product term."
Savio Palmieri,1,smith,unclear,"Person name mentioned in a knife-discussion context; likely an individual bladesmith or knife maker, but I can't confidently identify the specific person from the name alone."
Franci,1,other,unclear,"Ambiguous name; could refer to a person or brand, but not enough context to identify it as a knife-related entity."
Larkin,1,other,unclear,"Ambiguous name; could refer to a person, place, or brand, but not enough context to identify it as a knife-related entity."
Yanni's,1,other,unclear,"Possessive form of a name ('Yanni's'); likely refers to a person or business, but the knife-discussion context is insufficient to identify the entity."
Texas Olive Ranch,1,other,english,Texas-based olive oil producer/brand; not a knife-specific entity.
Oleada,1,knife_brand,unclear,"Unknown knife-related name; likely a brand or maker, but I can't confidently identify it from the name alone."
Australian Extra Virgin,1,other,unclear,A descriptor for extra virgin olive oil from Australia; not a knife brand or knife-related entity.
Fresh-Pressed Olive Oil Club,1,other,english,"Olive oil subscription club / consumer food brand, not a knife-specific entity."
Whole Foods 365 Reserve line,1,other,english,"Private-label product line from Whole Foods Market (365 Reserve), a grocery store brand rather than a knife-specific entity."
Gustiamo,1,retailer,english,Italian food retailer and importer with an English-language web presence; not a knife maker.
The Fresh Olive,1,other,english,"Likely a food/ingredient or business name; not clearly a knife-specific brand, retailer, publication, community, smith, or product term."
Extra Virgin Alliance,1,other,english,Likely a food-related organization or brand name; not a known knife-specific entity from the mention alone.
Cook's Illustrated,1,publication,english,US cooking magazine and recipe/testing publication
NYT Wirecutter,1,publication,english,New York Times product review site and consumer publication
UNAPROL,1,knife_brand,unclear,Knife-related brand or maker name; exact identity not recognized from the mention alone.
Australian Olive Association,1,other,english,"Australian industry association related to olive production; not a knife brand, retailer, publication, community, smith, or product term."
Kirkland Organic Toscano,1,other,english,"Kirkland Organic Toscano is a food product name associated with Kirkland Signature, likely an olive oil or grocery item rather than a knife-related entity."
PDO,1,other,unclear,"Ambiguous acronym; in a knife-discussion context it could refer to a protected designation of origin or another non-brand term, but the exact entity is unclear."
PGI,1,other,unclear,"Ambiguous acronym; could refer to a company, organization, or other entity, but not enough context from the knife-discussion mention to identify it confidently."
Greek,1,other,unclear,"Greek; likely refers to the country, language, or style, but not a knife-specific entity"
Marques de Grignon,1,other,unclear,"Unclear entity name; likely a proper name or place/brand reference, but not enough context to identify it as a knife-related brand, retailer, publication, community, smith, or product term."
Terra Medi,1,other,unclear,"Unclear entity name in a knife-discussion context; possibly a brand or place, but not enough information to identify confidently."
Barbera,1,knife_brand,unclear,"Ambiguous name in a knife context; could refer to a knife brand or maker, but not enough context to identify confidently."
Laconiko Koroneiki,1,other,unclear,Koroneiki is an olive cultivar; Laconiko appears to be an olive oil brand/product name rather than a knife-related entity.
